0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1
3,1,0,0,0,1,3,0,4,0,0,0,0,1,2,0,5,3,3,0,2,0,3,1,2,2,0,0,0,1,2,0,3,0,0,0,2,2,0,1,1,3,4,0,2,5,2,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,3,8,6,8,6,6,4,4,1,2,3,5,3,13,7,5,7,12,6,7,10,2,0,1,0,2,9,12,8,5,2,2,2,8,3,5,4,5,3,4,8,12,3,6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,1,1,1,0,0,3,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,3,2,0,2,3,0,0,0,3,2,5,0,1,0,2,2,1,2,3,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,0,4
5,1,0,0,4,5,9,5,5,5,6,0,6,4,11,12,8,16,8,8,14,16,13,11,7,7,0,0,2,2,3,3,3,2,2,0,2,9,7,6,4,8,8,13,8,15,15,8
0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,2,5,7,5,5,3,3,5,5,2,4,8,5,3,3,4,6,6,3,1,0,0,0,0,0,1,2,3,2,1,1,1,3,4,2,4,6,4,2,7,3,2,2
3,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,1,0,0,1,0,1,2,1,0,1,2,1,0,0,0,0,1,0,2,1,0
5,2,2,1,2,4,5,6,4,0,3,1,2,2,5,3,5,9,6,3,8,7,6,6,9,1,0,0,0,3,8,3,2,1,1,2,0,3,3,3,3,4,4,3,7,9,4,7
5,1,0,0,0,2,0,1,2,2,1,1,0,2,4,5,2,5,5,1,5,5,3,4,6,1,0,0,1,2,0,4,0,1,2,1,1,2,3,1,1,4,9,3,5,5,2,4
0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,1,0,2,2,1,1,0,1,0,0,0,2,0,2,2,0,0,1,0,1,0,1,0,2,1,1,2,0,3
0,0,1,0,0,1,7,1,1,0,0,0,2,1,2,1,1,2,2,2,2,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,1,1,1,2,1,1,3
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,1,0,0,1,2,2,1,2,2,1,2,0,1,1,0,1,0,0,2,5,4,0,2,0,0,0,0,0,0,1,1,1,2,3,1,2,1,1,1,2,1,2,2,4,0,3
4,4,1,0,3,6,9,5,5,7,1,2,5,3,5,6,4,1,11,3,9,7,17,8,7,0,0,1,1,5,14,5,5,1,3,1,4,4,6,4,3,1,3,6,9,8,7,8
0,0,0,0,0,0,1,1,3,0,3,0,1,0,0,3,1,5,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,2,0,3,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,3,2,0,1,0,0,2,0,2,0,2,2,2,3,2,2,0,0,5,2,1,0,0,1,2,0,0,0,0,0,1,1,3,3,0,0,1,4,1,1,1,0
0,0,0,0,0,0,4,4,3,3,1,0,1,1,4,3,3,2,2,1,1,0,2,0,6,3,0,0,0,5,5,2,0,1,2,0,2,1,0,3,2,2,4,3,3,3,7,10
0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2,1,0,0,1,0,1,1,2,2,3,0,1,2,5,4,2,4,0,3,1,4,3,2,0,1,0,1,1,0,1,0,2,3,0,0,0,3,3,1,0,2,3,3,2,3,1,2
4,2,1,0,0,2,4,2,5,2,2,1,2,4,7,2,3,5,5,2,13,10,4,4,7,3,0,0,0,0,3,1,0,2,0,2,1,3,4,1,0,4,7,4,7,12,3,4
1,1,0,0,0,0,1,4,0,1,1,2,0,1,2,3,0,0,4,3,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,2,0,0,1,2,3,5,0,3,0,2,0,2,1,6,5,5,0,0,1,1,0,1,1,0,0,2,1,1,0,4,2,1,1,1,2,2,3,2,1
7,2,0,0,0,4,14,8,6,4,3,1,6,5,7,7,9,6,2,7,3,12,8,2,7,1,0,0,1,1,4,8,1,2,0,1,0,3,2,1,2,4,3,8,3,7,4,10
6,5,0,0,0,8,12,8,4,4,5,1,3,5,3,5,6,12,2,1,10,14,13,8,11,2,1,2,2,2,4,7,3,5,5,1,2,8,8,1,5,2,6,4,8,19,10,7
0,1,0,0,2,1,3,1,5,2,0,1,3,2,5,4,2,1,3,2,1,1,1,1,4,0,1,0,0,2,1,1,4,0,2,0,2,2,1,1,0,2,1,1,2,1,0,2
3,1,2,0,0,0,11,7,2,5,4,1,3,12,11,2,1,3,7,7,4,4,2,5,3,2,1,1,0,3,2,4,2,1,5,0,4,3,3,3,2,2,3,2,3,4,3,6
3,1,1,0,1,0,0,0,2,1,3,1,1,0,6,4,2,2,3,6,2,6,7,2,2,0,0,0,0,1,6,1,1,1,1,0,2,2,3,2,0,1,1,3,2,5,3,3
3,0,0,0,0,3,3,4,5,1,3,0,3,2,1,6,1,5,3,5,5,11,6,7,4,3,1,0,0,1,1,3,0,1,0,0,4,3,2,1,3,1,1,1,7,9,2,4
1,0,0,0,0,1,0,1,0,3,0,1,0,1,1,1,3,1,3,1,1,2,2,1,2,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,2
2,1,0,1,2,3,4,7,8,2,0,1,4,2,5,2,4,7,4,3,9,8,3,1,6,0,0,1,0,3,1,4,4,0,0,0,2,2,5,1,0,2,4,0,4,8,1,5
2,0,0,0,0,1,2,4,1,0,1,1,1,4,6,2,5,1,4,5,2,3,3,1,2,1,0,0,1,0,2,3,0,1,2,1,1,3,1,0,5,3,7,2,3,3,2,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
19,1,2,1,2,8,9,11,15,9,14,7,8,9,27,21,29,17,16,18,26,30,16,16,13,5,1,1,1,5,8,10,6,2,2,7,14,19,27,21,16,15,17,24,23,28,16,16
4,3,0,0,1,6,5,12,3,4,3,0,5,4,6,6,6,5,7,8,8,13,6,3,9,1,1,0,1,4,6,4,0,0,0,1,5,3,3,2,4,3,6,4,9,18,4,5
5,1,0,0,2,4,5,5,1,1,0,0,0,4,7,3,11,2,6,4,3,6,3,3,8,0,0,0,1,6,3,2,4,1,3,0,5,5,4,1,2,2,4,5,3,6,2,10
0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,2,0,1,2,3,2,1,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,1,0,0,1,0,1,1,1,0
